MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearRemod/Add,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,Fence,MoSold,YrSold,SaleType,SaleCondition,SalePrice,logSalePrice,TotalSF,HasAlley,Neighborhood_ord,Conditions_vals,Age,Roof_ord,Bsmt_ord_sum,TotalBath
20,RH,80.0,11622,4,Lvl,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,Gable,CompShg,VinylSd,VinylSd,NA,0.0,3,3,CBlock,3,3,1,3,468.0,270.0,882.0,3,1,896,0.0,1,0,2,1,3,5,Typ,0,Attchd,1,1.0,730.0,3,3,140,0,0,120,1,6,2010,WD ,Normal,105000,11.561725152903833,1778.0,0,1.0,1,49,1,9,1.0
20,RL,81.0,14267,3,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,108.0,3,3,CBlock,3,3,1,5,923.0,406.0,1329.0,3,1,1329,0.0,1,1,3,1,4,6,Typ,0,Attchd,1,1.0,312.0,3,3,393,1,0,0,0,6,2010,WD ,Normal,172000,12.055255569732177,2658.0,0,1.0,1,52,2,9,2.0
20,RL,93.0,11160,4,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1968,Hip,CompShg,BrkFace,BrkFace,NA,0.0,4,3,CBlock,3,3,1,5,1065.0,1045.0,2110.0,5,1,2110,1.0,2,1,3,1,5,8,Typ,1,Attchd,3,2.0,522.0,3,3,0,0,0,0,0,4,2010,WD ,Normal,244000,12.404927602627597,4220.0,0,1.0,1,42,2,9,4.0
60,RL,72.30699774266365,13830,3,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5,1998,Gable,CompShg,VinylSd,VinylSd,NA,0.0,3,3,PConc,4,3,1,6,791.0,137.0,928.0,4,1,1629,0.0,2,1,3,1,3,6,Typ,1,Attchd,3,2.0,482.0,3,3,212,1,0,0,1,3,2010,WD ,Normal,189900,12.15425816271595,2557.0,0,3.0,1,12,1,12,3.0
60,RL,78.0,9978,3,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,20.0,3,3,PConc,3,3,1,6,602.0,324.0,926.0,5,1,1604,0.0,2,1,3,1,4,7,Typ,1,Attchd,3,2.0,470.0,3,3,360,1,0,0,0,6,2010,WD ,Normal,195500,12.18332077348399,2530.0,0,3.0,1,12,1,9,3.0
120,RL,41.0,4920,4,Lvl,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2001,Gable,CompShg,CemntBd,CmentBd,NA,0.0,4,3,PConc,4,3,3,6,616.0,722.0,1338.0,5,1,1338,1.0,2,0,2,1,4,6,Typ,0,Attchd,3,2.0,582.0,3,3,0,0,170,0,0,4,2010,WD ,Normal,213500,12.271396795480596,2676.0,0,4.0,1,9,1,36,3.0
120,RL,43.0,5005,3,HLS,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,Gable,CompShg,HdBoard,HdBoard,NA,0.0,4,3,PConc,4,3,1,5,263.0,1017.0,1280.0,5,1,1280,0.0,2,0,2,1,4,5,Typ,0,Attchd,2,2.0,506.0,3,3,0,1,0,144,0,1,2010,WD ,Normal,191500,12.162648309521318,2560.0,0,4.0,1,18,1,12,2.0
120,RL,39.0,5389,3,Lvl,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1996,Gable,CompShg,CemntBd,CmentBd,NA,0.0,4,3,PConc,4,3,1,6,1180.0,415.0,1595.0,5,1,1616,1.0,2,0,2,1,4,5,Typ,1,Attchd,2,2.0,608.0,3,3,237,1,0,0,0,3,2010,WD ,Normal,236500,12.373707715234994,3211.0,0,4.0,1,14,1,12,3.0
60,RL,60.0,7500,4,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999,Gable,CompShg,VinylSd,VinylSd,NA,0.0,3,3,PConc,3,3,1,1,0.0,994.0,994.0,4,1,1804,0.0,2,1,3,1,4,7,Typ,1,Attchd,3,2.0,442.0,3,3,140,1,0,0,0,6,2010,WD ,Normal,189000,12.149507585033072,2798.0,0,3.0,1,11,1,9,3.0
60,RL,75.0,10000,3,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1994,Gable,CompShg,HdBoard,HdBoard,NA,0.0,3,3,PConc,4,3,1,1,0.0,763.0,763.0,4,1,1655,0.0,2,1,3,1,3,7,Typ,1,Attchd,3,2.0,440.0,3,3,157,1,0,0,0,4,2010,WD ,Normal,175900,12.077676615757813,2418.0,0,3.0,1,16,1,12,3.0
20,RL,72.30699774266365,7980,3,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,2007,Gable,CompShg,HdBoard,HdBoard,NA,0.0,3,4,PConc,4,3,1,5,935.0,233.0,1168.0,5,1,1187,1.0,2,0,3,1,3,6,Typ,0,Attchd,3,2.0,420.0,3,3,483,1,0,0,1,3,2010,WD ,Normal,185000,12.128116509451258,2355.0,0,3.0,1,3,1,12,3.0
60,RL,63.0,8402,3,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,Gable,CompShg,VinylSd,VinylSd,NA,0.0,3,3,PConc,4,3,1,1,0.0,789.0,789.0,4,1,1465,0.0,2,1,3,1,3,7,Typ,1,Attchd,3,2.0,393.0,3,3,0,1,0,0,0,5,2010,WD ,Normal,180400,12.102937429832547,2254.0,0,3.0,1,12,1,12,3.0
